date,hour,PlayStation5,PlayStation5 DE,XboxSX,XboxSS,Switchグレー,Switchネオン,SwitchLiteターコイズ
2021年08月15日,21時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,22時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,23時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,00時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,01時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,02時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,03時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,04時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,05時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,06時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,07時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,08時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,09時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,10時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,11時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,12時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,13時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,14時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月16日,15時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月16日,16時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月16日,17時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月16日,18時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月16日,19時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月16日,20時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月16日,21時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月16日,22時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月16日,23時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,00時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,01時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,02時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,03時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,04時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,05時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,06時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,07時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,08時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,09時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
2021年08月17日,10時,"84,100円","71,500円","66,500円","36,000円","33,000円","32,000円","19,100円"
